phase,phase_name,subtheme,word,english
0,"Foundation 20","The 20 (pronouns + want/can/have + key questions + hi/yes/no)",мой,"my"
0,"Foundation 20","The 20 (pronouns + want/can/have + key questions + hi/yes/no)",твой,"your"
0,"Foundation 20","The 20 (pronouns + want/can/have + key questions + hi/yes/no)",вот,"here is"
0,"Foundation 20","The 20 (pronouns + want/can/have + key questions + hi/yes/no)",не,"not"
0,"Foundation 20","The 20 (pronouns + want/can/have + key questions + hi/yes/no)",и,"and"
1,"People & Body","Family",мать,"mother"
1,"People & Body","Family",отец,"father"
1,"People & Body","Family",муж,"husband"
1,"People & Body","Family",жена,"wife"
1,"People & Body","Family",семья,"family"
1,"People & Body","Family",внук,"grandson"
1,"People & Body","Family",внучка,"granddaughter"
1,"People & Body","Family",малыш,"little one"
1,"People & Body","Family",родитель,"parent"
1,"People & Body","Roles & people",мальчик,"boy"
1,"People & Body","Roles & people",девочка,"girl"
1,"People & Body","Roles & people",мужчина,"man"
1,"People & Body","Roles & people",женщина,"woman"
1,"People & Body","Roles & people",человек,"person"
1,"People & Body","Roles & people",приятель,"buddy"
1,"People & Body","Roles & people",учительница,"teacher (f)"
1,"People & Body","Roles & people",гость,"guest"
1,"People & Body","Roles & people",сосед,"neighbor"
1,"People & Body","Roles & people",ребята,"guys / kids"
1,"People & Body","More pronouns",наш,"our"
1,"People & Body","More pronouns",его,"his"
1,"People & Body","More pronouns",её,"her"
1,"People & Body","More pronouns",их,"their"
1,"People & Body","More pronouns",имя,"name"
1,"People & Body","Face & head",лицо,"face"
1,"People & Body","Face & head",волос,"hair"
1,"People & Body","Face & head",губа,"lip"
1,"People & Body","Face & head",щека,"cheek"
1,"People & Body","Face & head",лоб,"forehead"
1,"People & Body","Face & head",голос,"voice"
1,"People & Body","Face & head",улыбка,"smile"
1,"People & Body","Face & head",слеза,"tear"
1,"People & Body","Limbs & torso",бок,"side"
1,"People & Body","Limbs & torso",пятка,"heel"
